FID IID CapYear 
1 3015 1997 
1 3825 1999 
1 2347 1995 
1 2615 1996 
1 4576 2001 
1 2919 1996 
1 3547 1998 
1 4419 2001 
1 2404 1995 
1 2874 1996 
1 2876 1996 
1 2413 1995 
1 3017 1997 
1 2457 1995 
1 2710 1996 
1 2740 1996 
1 3153 1997 
1 2444 1995 
1 3355 1998 
1 2757 1996 
1 3184 1997 
1 2430 1995 
1 3752 1999 
1 2482 1995 
1 3018 1997 
1 2758 1996 
1 3898 1999 
1 2831 1996 
1 2537 1995 
1 3509 1998 
1 7768 2003 
1 4477 2001 
1 3507 1998 
1 2546 1995 
1 3844 1999 
1 3358 1998 
1 8190 2004 
1 4421 2001 
1 4032 2000 
1 3754 1999 
1 2348 1995 
1 2616 1996 
1 7596 2003 
1 7124 2002 
1 7193 2002 
1 2368 1995 
1 3360 1998 
1 3019 1997 
1 2617 1996 
1 3034 1997 
1 3823 1999 
1 7121 2002 
1 4557 2001 
1 8182 2004 
1 2679 1996 
1 7592 2003 
1 4027 2000 
1 3348 1998 
1 3749 1999 
1 3156 1997 
1 7593 2003 
1 4559 2001 
1 3430 1998 
1 7122 2002 
1 2379 1995 
1 8184 2004 
1 8971 2005 
1 4029 2000 
1 2658 1996 
1 3020 1997 
1 2883 1996 
1 2443 1995 
1 3021 1997 
1 2566 1996 
1 2493 1995 
1 3185 1997 
1 3427 1998 
1 7711 2003 
1 8187 2004 
1 2567 1996 
1 2568 1996 
1 2469 1995 
1 2868 1996 
1 2869 1996 
1 2438 1995 
1 3022 1997 
1 3426 1998 
1 3023 1997 
1 2399 1995 
1 3024 1997 
1 4137 2000 
1 3750 1999 
1 2429 1995 
1 3025 1997 
1 4620 2001 
1 3503 1998 
1 2900 1996 
1 2539 1995 
1 4558 2001 
1 8183 2004 
1 3352 1998 
1 7766 2003 
1 2398 1995 
1 4028 2000 
1 2653 1996 
1 3746 1999 
1 3026 1997 
1 2467 1995 
1 3842 1999 
1 3186 1997 
1 2424 1995 
1 2780 1996 
1 3027 1997 
1 2569 1996 
1 2359 1995 
1 2902 1996 
1 2360 1995 
1 3748 1999 
1 2654 1996 
1 3028 1997 
1 2361 1995 
1 3349 1998 
1 3187 1997 
1 3543 1998 
1 2516 1995 
1 2781 1996 
1 3029 1997 
1 7767 2003 
1 3188 1997 
1 3504 1998 
1 2495 1995 
1 4622 2001 
1 2903 1996 
1 8186 2004 
1 3895 1999 
1 3542 1998 
1 4621 2001 
1 2570 1996 
1 2496 1995 
1 2362 1995 
1 7191 2002 
1 3030 1997 
1 3350 1998 
1 7591 2003 
1 9150 2006 
1 8188 2004 
1 4418 2001 
1 3824 1999 
1 2655 1996 
1 4030 2000 
1 8972 2005 
1 3431 1998 
1 2870 1996 
1 3154 1997 
1 3841 1999 
1 2450 1995 
1 3500 1998 
1 3189 1997 
1 3545 1998 
1 2439 1995 
1 2513 1995 
1 2782 1996 
1 2783 1996 
1 4136 2000 
1 3843 1999 
1 3190 1997 
1 2543 1995 
1 3191 1997 
1 3505 1998 
1 3243 1997 
1 2497 1995 
1 2904 1996 
1 3499 1998 
1 2534 1995 
1 3192 1997 
1 2451 1995 
1 4562 2001 
1 3745 1999 
1 2452 1995 
1 8185 2004 
1 4575 2001 
1 3428 1998 
1 3155 1997 
1 7594 2003 
1 2656 1996 
1 7192 2002 
1 3822 1999 
1 3544 1998 
1 7007 2001 
1 2784 1996 
1 2481 1995 
1 3031 1997 
1 2886 1996 
1 4026 2000 
1 3747 1999 
1 3432 1998 
1 2682 1996 
1 3032 1997 
1 2390 1995 
1 3351 1998 
1 4561 2001 
1 2657 1996 
1 3033 1997 
1 2659 1996 
1 4560 2001 
1 3429 1998 
1 3035 1997 
1 4088 2000 
1 3850 1999 
1 2374 1995 
1 2660 1996 
1 3036 1997 
1 3353 1998 
1 2419 1995 
1 3893 1999 
1 7190 2002 
1 2778 1996 
1 7765 2003 
1 3193 1997 
1 3194 1997 
1 4614 2001 
1 2565 1996 
1 3424 1998 
1 3894 1999 
1 8180 2004 
1 3496 1998 
1 3195 1997 
1 3497 1998 
1 2649 1996 
1 3796 1999 
1 3037 1997 
1 3541 1998 
1 7710 2003 
1 3196 1997 
1 7265 2002 
1 2650 1996 
1 2779 1996 
1 3038 1997 
1 2686 1996 
1 3744 1999 
1 3425 1998 
1 2651 1996 
1 3498 1998 
1 4615 2001 
1 3244 1997 
1 2652 1996 
1 3039 1997 
1 3743 1999 
1 3347 1998 
1 4025 2000 
1 3840 1999 
1 3245 1997 
1 7120 2002 
1 4555 2001 
1 3736 1999 
1 3040 1997 
1 3197 1997 
1 3889 1999 
1 7708 2003 
1 8179 2004 
1 7269 2002 
1 4618 2001 
1 3729 1999 
1 4086 2000 
1 7587 2003 
1 3041 1997 
1 7583 2003 
1 3730 1999 
1 4019 2000 
1 3042 1997 
1 4617 2001 
1 3422 1998 
1 8170 2004 
1 7271 2002 
1 4085 2000 
1 3888 1999 
1 7268 2002 
1 3494 1998 
1 3246 1997 
1 3198 1997 
1 3734 1999 
1 3043 1997 
1 4619 2001 
1 3417 1998 
1 3157 1997 
1 3839 1999 
1 3199 1997 
1 3492 1998 
1 3795 1999 
1 8255 2004 
1 7266 2002 
1 3886 1999 
1 3338 1998 
1 3044 1997 
1 4087 2000 
1 4616 2001 
1 3892 1999 
1 7117 2002 
1 3821 1999 
1 8967 2005 
1 3339 1998 
1 8173 2004 
1 3045 1997 
1 7585 2003 
1 4415 2001 
1 4024 2000 
1 3410 1998 
1 3046 1997 
1 3411 1998 
1 3047 1997 
1 4023 2000 
1 3048 1997 
1 10158 2008 
1 4414 2001 
1 9147 2006 
1 3419 1998 
1 9680 2007 
1 7116 2002 
1 3740 1999 
1 7584 2003 
1 8968 2005 
1 8177 2004 
1 7764 2003 
1 7270 2002 
1 9679 2007 
1 3890 1999 
1 3049 1997 
1 4081 2000 
1 4551 2001 
1 3346 1998 
1 3200 1997 
1 3247 1997 
1 8256 2004 
1 4473 2001 
1 3838 1999 
1 7273 2002 
1 3050 1997 
1 8966 2005 
1 3735 1999 
1 7118 2002 
1 8172 2004 
1 7588 2003 
1 9146 2006 
1 4417 2001 
1 3248 1997 
1 3345 1998 
1 4022 2000 
1 3416 1998 
1 3249 1997 
1 3051 1997 
1 3340 1998 
1 4554 2001 
1 3737 1999 
1 7189 2002 
1 8241 2004 
1 3341 1998 
1 4550 2001 
1 7187 2002 
1 7621 2003 
1 3052 1997 
1 3418 1998 
1 3053 1997 
1 3238 1997 
1 4082 2000 
1 4574 2001 
1 3054 1997 
1 7586 2003 
1 7185 2002 
1 3849 1999 
1 8174 2004 
1 8969 2005 
1 7589 2003 
1 8178 2004 
1 9681 2007 
1 3819 1999 
1 4084 2000 
1 4552 2001 
1 3055 1997 
1 7119 2002 
1 3342 1998 
1 9149 2006 
1 4630 2001 
1 3728 1999 
1 4416 2001 
1 7272 2002 
1 3493 1998 
1 3250 1997 
1 3415 1998 
1 7113 2002 
1 3732 1999 
1 3056 1997 
1 4017 2000 
1 4412 2001 
1 4411 2001 
1 4016 2000 
1 7112 2002 
1 3731 1999 
1 3414 1998 
1 8240 2004 
1 3057 1997 
1 7581 2003 
1 3058 1997 
1 3420 1998 
1 7114 2002 
1 8168 2004 
1 3412 1998 
1 3739 1999 
1 4018 2000 
1 7582 2003 
1 3343 1998 
1 8175 2004 
1 7115 2002 
1 3741 1999 
1 4413 2001 
1 4100 2000 
1 3059 1997 
1 4102 2000 
1 3060 1997 
1 4133 2000 
1 3887 1999 
1 3495 1998 
1 3251 1997 
1 3252 1997 
1 4135 2000 
1 8176 2004 
1 7590 2003 
1 4079 2000 
1 7188 2002 
1 3344 1998 
1 3742 1999 
1 3061 1997 
1 4553 2001 
1 4629 2001 
1 4021 2000 
1 8171 2004 
1 3421 1998 
1 3062 1997 
1 7622 2003 
1 3738 1999 
1 3063 1997 
1 4080 2000 
1 3820 1999 
1 3423 1998 
1 3158 1997 
1 3064 1997 
1 3794 1999 
1 4474 2001 
1 4134 2000 
1 3891 1999 
1 3065 1997 
1 4101 2000 
1 3253 1997 
1 4099 2000 
1 7709 2003 
1 3558 1998 
1 8970 2005 
1 4549 2001 
1 7186 2002 
1 3413 1998 
1 3159 1997 
1 8169 2004 
1 4083 2000 
1 9148 2006 
1 3733 1999 
1 4020 2000 
1 4556 2001 
1 3818 1999 
1 4611 2001 
1 3536 1998 
1 3882 1999 
1 9190 2006 
1 7763 2003 
1 8167 2004 
1 10093 2008 
1 8965 2005 
1 3793 1999 
1 3556 1998 
1 7707 2003 
1 7263 2002 
1 9779 2007 
1 7139 2002 
1 8162 2004 
1 3789 1999 
1 4078 2000 
1 4098 2000 
1 3836 1999 
1 4472 2001 
1 7108 2002 
1 8161 2004 
1 3885 1999 
1 4131 2000 
1 4148 2000 
1 3817 1999 
1 4077 2000 
1 3330 1998 
1 3726 1999 
1 4015 2000 
1 4409 2001 
1 3725 1999 
1 3337 1998 
1 3537 1998 
1 3837 1999 
1 4547 2001 
1 4471 2001 
1 4128 2000 
1 7761 2003 
1 3538 1998 
1 7111 2002 
1 7579 2003 
1 3331 1998 
1 8961 2005 
1 7006 2001 
1 8163 2004 
1 3727 1999 
1 9145 2006 
1 4012 2000 
1 3408 1998 
1 9246 2006 
1 7762 2003 
1 3487 1998 
1 3883 1999 
1 8254 2004 
1 9245 2006 
1 3884 1999 
1 7264 2002 
1 3488 1998 
1 8960 2005 
1 8160 2004 
1 7575 2003 
1 7181 2002 
1 4546 2001 
1 3332 1998 
1 3722 1999 
1 3723 1999 
1 7576 2003 
1 3333 1998 
1 7182 2002 
1 8165 2004 
1 7580 2003 
1 9143 2006 
1 9678 2007 
1 8239 2004 
1 4013 2000 
1 10092 2008 
1 8962 2005 
1 3724 1999 
1 4408 2001 
1 7109 2002 
1 3334 1998 
1 3335 1998 
1 9144 2006 
1 3847 1999 
1 7578 2003 
1 4410 2001 
1 8963 2005 
1 8166 2004 
1 7110 2002 
1 9873 2007 
1 9814 2007 
1 9009 2005 
1 3792 1999 
1 3409 1998 
1 3539 1998 
1 3489 1998 
1 8164 2004 
1 4014 2000 
1 7183 2002 
1 3848 1999 
1 7577 2003 
1 3336 1998 
1 4132 2000 
1 3490 1998 
1 7256 2002 
1 3491 1998 
1 4612 2001 
1 3540 1998 
1 3790 1999 
1 4407 2001 
1 8986 2005 
1 7106 2002 
1 4129 2000 
1 3557 1998 
1 4470 2001 
1 7760 2003 
1 8159 2004 
1 3878 1999 
1 8302 2004 
1 4126 2000 
1 3785 1999 
1 8985 2005 
1 4405 2001 
1 3881 1999 
1 8155 2004 
1 8238 2004 
1 4628 2001 
1 4073 2000 
1 3786 1999 
1 9813 2007 
1 10091 2008 
1 8157 2004 
1 3787 1999 
1 9777 2007 
1 7258 2002 
1 7259 2002 
1 4545 2001 
1 7105 2002 
1 7620 2003 
1 4404 2001 
1 3720 1999 
1 4011 2000 
1 3721 1999 
1 4406 2001 
1 7572 2003 
1 7104 2002 
1 3879 1999 
1 4609 2001 
1 4076 2000 
1 9007 2005 
1 7102 2002 
1 7138 2002 
1 4544 2001 
1 3816 1999 
1 7573 2003 
1 8959 2005 
1 7184 2002 
1 8158 2004 
1 4147 2000 
1 7704 2003 
1 4127 2000 
1 3880 1999 
1 4074 2000 
1 8237 2004 
1 7101 2002 
1 7261 2002 
1 7706 2003 
1 4610 2001 
1 3788 1999 
1 4075 2000 
1 7705 2003 
1 8253 2004 
1 9008 2005 
1 9778 2007 
1 7757 2003 
1 7571 2003 
1 7758 2003 
1 4071 2000 
1 4608 2001 
1 4402 2001 
1 4010 2000 
1 8154 2004 
1 7703 2003 
1 9244 2006 
1 10660 2009 
1 11374 2010 
1 7254 2002 
1 8301 2004 
1 9189 2006 
1 4146 2000 
1 8958 2005 
1 7100 2002 
1 8236 2004 
1 7569 2003 
1 4403 2001 
1 7759 2003 
1 7255 2002 
1 8304 2004 
1 7257 2002 
1 7260 2002 
1 4072 2000 
1 4130 2000 
1 7107 2002 
1 4601 2001 
1 7093 2002 
1 9006 2005 
1 8298 2004 
1 7094 2002 
1 7750 2003 
1 4528 2001 
1 4462 2001 
1 4381 2001 
1 7697 2003 
1 4463 2001 
1 8299 2004 
1 4382 2001 
1 9005 2005 
1 4383 2001 
1 4529 2001 
1 8232 2004 
1 7244 2002 
1 7751 2003 
1 4384 2001 
1 7245 2002 
1 7698 2003 
1 4602 2001 
1 4385 2001 
1 4530 2001 
1 7565 2003 
1 4386 2001 
1 7095 2002 
1 8148 2004 
1 7246 2002 
1 7699 2003 
1 8149 2004 
1 4387 2001 
1 4531 2001 
1 10745 2009 
1 10282 2008 
1 7753 2003 
1 9142 2006 
1 7096 2002 
1 10659 2009 
1 7566 2003 
1 10090 2008 
1 12533 2012 
1 8150 2004 
1 10984 2010 
1 9677 2007 
1 8954 2005 
1 4388 2001 
1 11741 2011 
1 13439 2014 
1 7700 2003 
1 4603 2001 
1 4389 2001 
1 4390 2001 
1 4532 2001 
1 8153 2004 
1 7619 2003 
1 4391 2001 
1 4392 2001 
1 4533 2001 
1 4604 2001 
1 8235 2004 
1 7097 2002 
1 4393 2001 
1 7567 2003 
1 8955 2005 
1 4534 2001 
1 4464 2001 
1 9188 2006 
1 7247 2002 
1 8984 2005 
1 7248 2002 
1 7755 2003 
1 4535 2001 
1 4394 2001 
1 4465 2001 
1 4466 2001 
1 4607 2001 
1 7098 2002 
1 8233 2004 
1 4536 2001 
1 10658 2009 
1 4537 2001 
1 4467 2001 
1 9776 2007 
1 8300 2004 
1 7249 2002 
1 4468 2001 
1 4395 2001 
1 7754 2003 
1 4396 2001 
1 4397 2001 
1 4538 2001 
1 7251 2002 
1 4539 2001 
1 7701 2003 
1 7178 2002 
1 10572 2009 
1 8956 2005 
1 8152 2004 
1 10157 2008 
1 4540 2001 
1 7625 2003 
1 9675 2007 
1 7252 2002 
1 7756 2003 
1 4401 2001 
1 4398 2001 
1 4541 2001 
1 4605 2001 
1 4543 2001 
1 7099 2002 
1 7253 2002 
1 10574 2009 
1 10088 2008 
1 4606 2001 
1 7702 2003 
1 7179 2002 
1 8151 2004 
1 8957 2005 
1 9676 2007 
1 10089 2008 
1 10573 2009 
1 4542 2001 
1 7180 2002 
1 4469 2001 
1 8234 2004 
1 4613 2001 
1 3791 1999 
1 4399 2001 
1 7686 2003 
1 10080 2008 
1 10566 2009 
1 9665 2007 
1 8130 2004 
1 7613 2003 
1 7050 2002 
1 8131 2004 
1 7687 2003 
1 7231 2002 
1 8983 2005 
1 7232 2002 
1 7746 2003 
1 8147 2004 
1 7051 2002 
1 8297 2004 
1 7688 2003 
1 9674 2007 
1 7233 2002 
1 10087 2008 
1 9186 2006 
1 10446 2009 
1 10084 2008 
1 9774 2007 
1 11740 2011 
1 7563 2003 
1 7234 2002 
1 8142 2004 
1 7689 2003 
1 7136 2002 
1 7551 2003 
1 8944 2005 
1 9133 2006 
1 7052 2002 
1 8227 2004 
1 8953 2005 
1 9141 2006 
1 8132 2004 
1 11319 2010 
1 10570 2009 
1 7552 2003 
1 9672 2007 
1 10086 2008 
1 7053 2002 
1 7235 2002 
1 7690 2003 
1 9666 2007 
1 8228 2004 
1 7747 2003 
1 10654 2009 
1 10280 2008 
1 7236 2002 
1 9773 2007 
1 7134 2002 
1 9135 2006 
1 8945 2005 
1 7554 2003 
1 8133 2004 
1 9667 2007 
1 11317 2010 
1 10567 2009 
1 7054 2002 
1 10081 2008 
1 8134 2004 
1 7237 2002 
1 10082 2008 
1 10568 2009 
1 11065 2010 
1 9809 2007 
1 9241 2006 
1 7691 2003 
1 7692 2003 
1 8135 2004 
1 9673 2007 
1 10156 2008 
1 7555 2003 
1 10571 2009 
1 11320 2010 
1 8946 2005 
1 9136 2006 
1 7055 2002 
1 8136 2004 
1 9243 2006 
1 10085 2008 
1 7748 2003 
1 9003 2005 
1 7695 2003 
1 7239 2002 
1 7614 2003 
1 7073 2002 
1 8948 2005 
1 10569 2009 
1 9137 2006 
1 10154 2008 
1 7561 2003 
1 7056 2002 
1 11318 2010 
1 9668 2007 
1 8140 2004 
1 8947 2005 
1 9775 2007 
1 7693 2003 
1 10657 2009 
1 7057 2002 
1 9138 2006 
1 7562 2003 
1 8141 2004 
1 8949 2005 
1 9004 2005 
1 8252 2004 
1 7694 2003 
1 7059 2002 
1 9817 2007 
1 9187 2006 
1 10083 2008 
1 10983 2010 
1 11739 2011 
1 7087 2002 
1 9670 2007 
1 12800 2013 
1 7556 2003 
1 8952 2005 
1 8145 2004 
1 9140 2006 
1 12532 2012 
1 10655 2009 
1 8310 2004 
1 7088 2002 
1 7557 2003 
1 8143 2004 
1 8950 2005 
1 7089 2002 
1 7558 2003 
