FID  BirthYear MumID
1 545 1996 2612
1 546 1996 2834
1 547 1996 2707
1 548 1996 2931
1 549 1996 3260
1 550 1996 2536
1 551 1996 2169
1 552 1996 2631
1 553 1996 2830
1 554 1996 2064
1 555 1996 3250
1 556 1996 2637
1 557 1996 2172
1 558 1996 3201
1 559 1996 1891
1 560 1996 2377
1 561 1996 2658
1 562 1996 2658
1 563 1996 3123
1 564 1996 2523
1 565 1996 2799
1 566 1996 2073
1 567 1996 2073
1 568 1996 2069
1 569 1996 2421
1 570 1996 2421
1 571 1996 2843
1 572 1996 3299
1 573 1996 1255
1 574 1996 2379
1 575 1996 3226
1 576 1996 2641
1 577 1996 2641
1 578 1996 2695
1 579 1996 3280
1 580 1996 3298
1 581 1996 2214
1 582 1996 3209
1 583 1996 2571
1 584 1996 2698
1 585 1996 3293
1 586 1996 2353
1 56 1996 2076
1 587 1996 2365
1 588 1996 3291
1 589 1996 2617
1 590 1996 2617
1 591 1996 2373
1 592 1996 2373
1 593 1996 2611
1 594 1996 3324
1 595 1996 2676
1 596 1997 2245
1 597 1997 2064
1 598 1997 2443
1 599 1997 2379
1 25 1997 2365
1 600 1997 3123
1 601 1997 2640
1 602 1997 3121
1 17 1997 3236
1 603 1997 3222
1 604 1997 1741
1 605 1997 1741
1 606 1997 2323
1 607 1997 2323
1 608 1997 3199
1 609 1997 2697
1 610 1997 2697
1 611 1997 2611
1 612 1997 2623
1 613 1997 2834
1 614 1997 2460
1 615 1997 2409
1 616 1997 2409
1 617 1997 3263
1 618 1997 2631
1 619 1997 2612
1 620 1997 3129
1 621 1997 2572
1 622 1997 2607
1 623 1997 2829
1 624 1997 3250
1 625 1997 3282
1 626 1997 2169
1 627 1997 2366
1 628 1997 2366
1 629 1997 2853
1 630 1997 2842
1 631 1997 3260
1 632 1997 2167
1 633 1997 2841
1 634 1997 2178
1 635 1997 2178
1 636 1997 2223
1 637 1997 2941
1 638 1997 2898
1 639 1997 3076
1 640 1997 2695
1 641 1997 2377
1 642 1997 2908
1 643 1997 2908
1 644 1997 2658
1 645 1997 2658
1 646 1997 2536
1 647 1997 2617
1 648 1997 2617
1 649 1997 2353
1 650 1997 2873
1 651 1997 2177
1 652 1997 3009
1 653 1997 2214
1 654 1997 2686
1 655 1997 2799
1 656 1997 2860
1 657 1997 2292
1 658 1997 2073
1 659 1997 1666
1 660 1997 2374
1 661 1997 2698
1 662 1997 2076
1 663 1997 2787
1 664 1997 1891
1 665 1997 2899
1 666 1997 3533
1 667 1997 2358
1 668 1997 2358
1 669 1997 3027
1 670 1997 2673
1 671 1997 2341
1 672 1997 2707
1 673 1997 2676
1 674 1997 1880
1 675 1997 2641
1 676 1997 2641
1 677 1997 3255
1 678 1997 2342
1 679 1997 3203
1 680 1997 54
1 681 1997 54
1 682 1997 2963
1 683 1997 3111
1 684 1997 2942
1 685 1998 2861
1 686 1998 2066
1 687 1998 2176
1 688 1998 3123
1 689 1998 3260
1 690 1998 2623
1 691 1998 3552
1 692 1998 2617
1 693 1998 2421
1 694 1998 2421
1 695 1998 2163
1 696 1998 3276
1 697 1998 3222
1 698 1998 3577
1 699 1998 2572
1 700 1998 2847
1 701 1998 2178
1 702 1998 2706
1 703 1998 2409
1 704 1998 3239
1 705 1998 3300
1 706 1998 3214
1 707 1998 2637
1 708 1998 2637
1 709 1998 2353
1 710 1998 2353
1 711 1998 3478
1 712 1998 2245
1 713 1998 2460
1 714 1998 2963
1 715 1998 2963
1 716 1998 2260
1 717 1998 3236
1 718 1998 75
1 719 1998 2369
1 720 1998 2834
1 721 1998 2834
1 722 1998 2853
1 723 1998 2941
1 724 1998 2941
1 725 1998 2073
1 726 1998 2073
1 727 1998 3009
1 728 1998 2476
1 729 1998 3289
1 730 1998 2640
1 731 1998 2860
1 732 1998 2830
1 733 1998 3291
1 734 1998 2861
1 735 1998 3255
1 736 1998 2707
1 737 1998 2536
1 738 1998 3307
1 739 1998 2695
1 740 1998 2479
1 741 1998 2262
1 742 1998 2262
1 743 1998 2931
1 744 1998 2607
1 745 1998 3428
1 746 1998 2168
1 747 1998 2597
1 748 1998 3326
1 749 1998 2534
1 750 1998 2799
1 751 1998 2873
1 752 1998 3282
1 753 1998 2787
1 754 1998 3490
1 755 1998 2075
1 756 1998 3027
1 757 1998 2699
1 758 1998 2906
1 759 1998 2236
1 760 1998 2376
1 761 1998 3564
1 762 1998 2683
1 763 1998 2892
1 764 1998 3203
1 765 1998 2361
1 766 1998 2278
1 767 1998 2377
1 768 1998 3111
1 769 1998 2964
1 770 1998 2673
1 771 1998 1880
1 772 1998 2292
1 773 1998 2358
1 34 1998 3567
1 774 1998 3273
1 775 1998 2378
1 776 1998 2899
1 777 1998 3592
1 778 1998 2942
1 779 1998 3198
1 780 1998 3538
1 781 1998 2612
1 782 1999 2379
1 783 1999 2829
1 784 1999 2479
1 785 1999 3440
1 786 1999 3201
1 787 1999 2853
1 27 1999 3552
1 788 1999 3214
1 24 1999 3571
1 789 1999 3002
1 790 1999 3330
1 791 1999 3300
1 792 1999 3202
1 793 1999 3259
1 794 1999 3048
1 795 1999 2323
1 19 1999 3471
1 796 1999 3469
1 797 1999 2800
1 798 1999 3111
1 799 1999 3414
1 800 1999 2668
1 801 1999 3009
1 802 1999 3291
1 803 1999 3282
1 16 1999 2841
1 804 1999 3248
1 805 1999 2706
1 806 1999 3129
1 807 1999 3203
1 808 1999 2834
1 809 1999 2834
1 810 1999 2597
1 811 1999 2787
1 812 1999 3564
1 813 1999 3255
1 814 1999 53
1 815 1999 2931
1 816 1999 2860
1 817 1999 3420
1 818 1999 3076
1 819 1999 3250
1 820 1999 2342
1 821 1999 54
1 822 1999 2799
1 823 1999 2908
1 824 1999 2908
1 825 1999 3237
1 826 1999 3224
1 827 1999 2699
1 13 1999 3538
1 828 1999 3443
1 829 1999 2873
1 830 1999 3607
1 831 1999 2460
1 832 1999 2659
1 833 1999 2892
1 834 1999 2942
1 835 1999 3589
1 836 1999 3273
1 837 1999 2703
1 838 1999 3704
1 10 1999 3316
1 839 1999 3759
1 840 1999 4301
1 841 1999 3567
1 842 1999 3198
1 843 1999 2927
1 844 1999 2784
1 845 1999 3473
1 846 1999 3303
1 847 1999 3738
1 4 1999 2066
1 848 1999 2223
1 849 1999 2223
1 850 2000 2941
1 851 2000 2941
1 852 2000 3248
1 853 2000 3440
1 854 2000 75
1 855 2000 3659
1 856 2000 3202
1 857 2000 3968
1 858 2000 3469
1 859 2000 3759
1 860 2000 3954
1 861 2000 2549
1 862 2000 4217
1 863 2000 3725
1 864 2000 2834
1 865 2000 2834
1 866 2000 3123
1 867 2000 3250
1 868 2000 3203
1 869 2000 3300
1 870 2000 2706
1 9 2000 2706
1 871 2000 3885
1 872 2000 3303
1 873 2000 3471
1 3 2000 3471
1 874 2000 3316
1 875 2000 2819
1 876 2000 4103
1 877 2000 3641
1 878 2000 3564
1 879 2000 3111
1 880 2000 3762
1 881 2000 3268
1 882 2000 2627
1 883 2000 3255
1 2 2000 3255
1 884 2000 3209
1 885 2000 3592
1 886 2000 2963
1 887 2000 2377
1 888 2000 2787
1 889 2000 3490
1 890 2000 3260
1 891 2000 3291
1 892 2000 3291
1 893 2000 3567
1 894 2000 3567
1 895 2000 2342
1 896 2000 2223
1 897 2000 4170
1 898 2000 3307
1 899 2002 3209
1 900 2002 3681
1 901 2002 3201
1 902 2002 3881
1 903 2002 3533
1 904 2002 3428
1 905 2002 3076
1 906 2002 3214
1 907 2002 3289
1 908 2002 3725
1 909 2002 3589
1 1 2002 3250
1 910 2002 2706
1 911 2002 4242
1 912 2002 4008
1 913 2002 3259
1 914 2002 3259
1 915 2002 3607
1 33 2002 3248
1 30 2002 3319
1 916 2002 4004
1 917 2002 4308
1 918 2002 4308
1 919 2002 4103
1 920 2002 4103
1 921 2002 3445
1 922 2002 4193
1 923 2002 4407
1 924 2002 3564
1 925 2002 3198
1 926 2002 3692
1 927 2002 3704
1 928 2002 4184
1 929 2002 3662
1 930 2002 4301
1 931 2002 4051
1 932 2002 3762
1 933 2002 4223
1 934 2002 4255
1 935 2002 4361
1 26 2002 3282
1 936 2002 3490
1 937 2002 2787
1 938 2002 3291
1 939 2002 4155
1 940 2002 3592
1 941 2002 3734
1 942 2002 3268
1 943 2002 3268
1 944 2002 3279
1 945 2002 4386
1 946 2002 3303
1 947 2003 4184
1 948 2003 3237
1 949 2003 4575
1 950 2003 5326
1 951 2003 4190
1 952 2003 2640
1 953 2003 4195
1 954 2003 4195
1 955 2003 4161
1 956 2003 3881
1 957 2003 3202
1 958 2003 3202
1 18 2003 4407
1 959 2003 2787
1 960 2003 2787
1 961 2003 3201
1 962 2003 3201
1 963 2003 4517
1 964 2003 5250
1 965 2003 5076
1 966 2003 3533
1 967 2003 4385
1 968 2003 4314
1 969 2003 4396
1 970 2003 3279
1 971 2003 4467
1 972 2003 2597
1 973 2003 4259
1 974 2003 4051
1 975 2003 3738
1 976 2003 5669
1 977 2003 4258
1 978 2003 5120
1 979 2003 4456
1 12 2003 3214
1 980 2003 3589
1 981 2003 4410
1 982 2003 3076
1 983 2003 3076
1 984 2003 5133
1 985 2003 4359
1 986 2003 4420
1 987 2003 4395
1 988 2003 3319
1 989 2003 3250
1 990 2003 3250
1 991 2003 3885
1 992 2003 4378
1 993 2003 3268
1 994 2003 3255
1 995 2003 5150
1 996 2003 3303
1 997 2003 5063
1 998 2003 4635
1 999 2003 3490
1 1000 2003 4416
1 46 2003 3564
1 1001 2003 4193
1 1002 2003 5141
1 1003 2003 4386
1 1004 2003 2784
1 1005 2003 3291
1 1006 2003 3291
1 1007 2003 2377
