FID  BirthYear
1 897 2008
1 898 2008
1 899 2008
1 900 2008
1 901 2008
1 902 2008
1 903 2008
1 904 2008
1 905 2008
1 906 2008
1 907 2008
1 908 2008
1 909 2008
1 910 2008
1 911 2008
1 912 2008
1 913 2008
1 914 2008
1 915 2008
1 916 2007
1 917 2007
1 918 2007
1 919 2007
1 920 2008
1 921 2007
1 922 2009
1 923 2009
1 924 2009
1 925 2009
1 926 2009
1 927 2009
1 928 2009
1 929 2009
1 930 2009
1 931 2009
1 932 2009
1 933 2009
1 934 2009
1 935 2009
1 936 2009
1 937 2009
1 938 2009
1 939 2009
1 940 2009
1 941 2009
1 942 2009
1 943 2009
1 944 2009
1 945 2009
1 946 2009
1 947 2009
1 948 2009
1 949 2009
1 950 2009
1 951 2009
1 6 2009
1 952 2009
1 953 2009
1 954 2009
1 955 2009
1 956 2009
1 957 2009
1 958 2009
1 959 2009
1 960 2009
1 961 2009
1 962 2009
1 963 2009
1 964 2009
1 965 2008
1 49 2005
1 966 2007
1 967 2010
1 109 1981
1 968 2010
1 969 2010
1 970 2010
1 110 1981
1 111 1981
1 112 1981
1 971 2010
1 972 2010
1 973 2009
1 974 2009
1 975 2009
1 976 2009
1 977 2009
1 978 2009
1 979 2009
1 980 2009
1 981 2009
1 982 2008
1 983 2010
1 984 2007
1 985 2008
1 986 2008
1 987 2007
1 988 2007
1 989 2006
1 990 2011
1 991 2011
1 992 2011
1 993 2011
1 994 2011
1 995 2011
1 996 2011
1 997 2012
1 998 2012
1 999 2012
1 1000 2012
1 1001 2012
1 1002 2012
1 1003 2012
1 1004 2012
1 1005 2012
1 1006 2012
1 1007 2012
1 1008 2012
1 1009 2012
1 1010 2012
1 1011 2012
1 1012 2009
1 1013 2008
1 1014 2008
1 1015 2003
1 1016 2009
1 1017 2007
1 1018 2005
1 1019 2009
1 113 1982
1 1020 2012
1 1021 2012
1 1022 2012
1 114 1982
1 1023 2011
1 1024 2008
1 115 1982
1 116 1982
1 1025 2013
1 117 1982
1 1026 2013
1 1027 2013
1 1028 2013
1 1029 2012
1 1030 2012
1 1031 2011
1 1032 2011
1 1033 2010
1 1034 2014
1 1035 2014
1 1036 2014
1 1037 2014
1 1038 2014
1 1039 2014
1 1040 2014
1 1041 2014
1 1042 2014
1 1043 2014
1 1044 2014
1 1045 2014
1 1046 2014
