FID  BirthYear MumID
1 401 1994 1757
1 170 1991 1769
1 171 1991 1769
1 118 1990 1769
1 452 1994 1784
1 31 1992 1820
1 321 1993 1820
1 181 1991 1820
1 322 1993 1820
1 180 1991 1820
1 414 1994 1820
1 234 1992 1821
1 428 1994 1821
1 291 1993 1825
1 229 1992 1825
1 142 1991 1825
1 290 1993 1825
1 373 1994 1825
1 141 1991 1825
1 95 1989 1834
1 185 1991 1834
1 591 1996 1834
1 355 1993 1834
1 454 1994 1834
1 49 1990 1835
1 125 1991 1835
1 460 1994 1876
1 517 1995 1876
1 853 1998 1876
1 199 1991 1876
1 435 1994 1877
1 619 1996 1877
1 176 1991 1877
1 107 1990 1877
1 242 1992 1877
1 731 1997 1877
1 518 1995 1877
1 250 1992 1877
1 119 1990 1877
1 177 1991 1877
1 347 1993 1877
1 434 1994 1877
1 348 1993 1877
1 739 1997 1880
1 341 1993 1880
1 186 1991 1880
1 228 1992 1880
1 124 1990 1880
1 839 1998 1880
1 453 1994 1880
1 332 1993 1882
1 440 1994 1882
1 439 1994 1882
1 333 1993 1882
1 207 1992 1882
1 448 1994 1885
1 222 1992 1885
1 123 1990 1885
1 447 1994 1885
1 161 1991 1887
1 446 1994 1887
1 160 1991 1887
1 301 1993 1887
1 221 1992 1887
1 83 1989 1887
1 595 1996 1891
1 280 1993 1891
1 442 1994 1891
1 231 1992 1891
1 521 1995 1891
1 145 1991 1899
1 299 1993 1899
1 300 1993 1899
1 406 1994 1899
1 144 1991 1899
1 102 1990 1981
1 626 1997 2064
1 187 1991 2064
1 418 1994 2064
1 138 1991 2066
1 539 1996 2066
1 477 1995 2066
1 98 1990 2066
1 375 1994 2066
1 279 1993 2066
1 249 1992 2066
1 749 1998 2066
1 8 1999 2066
1 116 1990 2067
1 828 1998 2069
1 602 1996 2069
1 325 1993 2069
1 430 1994 2069
1 324 1993 2069
1 106 1990 2071
1 522 1995 2071
1 243 1992 2073
1 245 1992 2073
1 723 1997 2073
1 783 1998 2073
1 722 1997 2073
1 436 1994 2073
1 600 1996 2073
1 437 1994 2073
1 191 1991 2073
1 523 1995 2073
1 524 1995 2073
1 782 1998 2073
1 200 1991 2073
1 601 1996 2073
1 216 1992 2075
1 686 1997 2075
1 510 1995 2075
1 121 1990 2075
1 331 1993 2075
1 165 1991 2075
1 420 1994 2075
1 360 1993 2076
1 236 1992 2076
1 99 1990 2076
1 726 1997 2076
