FID  CapYear MumID
1 2131 2017 9843
1 2132 2017 11121
1 2133 2017 7055
1 2134 2017 9093
1 2135 2017 6644
1 2136 2017 8800
1 2137 2017 8721
1 2138 2017 8734
1 2139 2017 8714
1 2140 2017 8787
1 2141 2017 7700
1 2142 2017 7560
1 2143 2017 8730
1 2144 2017 7459
1 2145 2017 10180
1 2146 2017 10115
1 2147 2017 6827
1 2148 2017 8729
1 2149 2017 9246
1 2150 2017 9797
1 2151 2017 9833
1 2152 2017 9793
1 2153 2017 8731
1 2154 2017 9165
1 2155 2017 8811
1 2156 2017 8811
1 2157 2017 8751
1 2158 2017 7205
1 2159 2017 7133
1 2160 2017 9251
1 2161 2017 8725
1 2162 2017 9214
1 2163 2017 6937
1 2164 2017 9769
1 2165 2017 6348
1 2166 2017 7230
1 2167 2017 7230
1 2168 2017 9827
1 2169 2017 10347
1 2170 2017 8762
1 2171 2017 7063
1 2172 2017 6938
1 2173 2017 8240
1 2174 2017 8240
1 2175 2017 8749
1 2176 2017 9208
1 2177 2017 7194
1 2178 2017 9086
1 2179 2017 7131
1 2180 2017 9211
1 2181 2017 8785
1 2182 2017 8758
1 2183 2017 7576
1 2184 2017 7576
1 2185 2017 10191
1 2186 2017 10231
1 2187 2017 6958
1 2188 2017 9036
1 2189 2017 9849
1 2190 2017 6930
1 2191 2017 8780
1 2192 2017 7486
1 2193 2017 8783
1 2194 2017 9030
1 2195 2017 9074
1 2196 2017 7142
1 2197 2017 9838
1 2198 2017 6969
1 2199 2017 7144
1 2200 2017 9016
1 2201 2017 7056
1 2202 2017 7056
1 2203 2017 5490
1 2204 2017 6679
1 2205 2017 6690
1 2206 2017 8812
1 2207 2017 7252
1 2208 2017 7053
1 2209 2017 10190
1 2210 2017 8804
1 2211 2017 9060
1 2212 2017 7596
1 2213 2017 7542
1 2214 2017 9834
1 2215 2017 9768
1 2216 2017 10443
1 2217 2017 9125
1 2218 2017 7458
1 2219 2017 8807
1 2220 2017 6967
1 2221 2017 7587
1 2222 2018 9246
1 2223 2018 8729
1 2224 2018 8714
1 2225 2018 9843
1 2226 2018 11076
