FID  BirthYear MumID
1 240 1994 2073
1 241 1994 2073
1 242 1994 1882
1 243 1994 2707
1 244 1994 1887
1 245 1994 1885
1 246 1994 1885
1 247 1994 1660
1 248 1994 2146
1 249 1994 2339
1 250 1994 2339
1 251 1994 2658
1 252 1994 2632
1 253 1994 2617
1 254 1994 2374
1 255 1994 2278
1 256 1994 2686
1 257 1994 2292
1 258 1994 2666
1 259 1994 32
1 260 1994 2223
1 261 1994 1242
1 262 1994 1258
1 263 1994 1226
1 264 1994 2076
1 265 1995 2414
1 266 1995 2066
1 267 1995 2460
1 268 1995 2262
1 269 1995 2572
1 270 1995 2686
1 271 1995 2921
1 272 1995 2549
1 273 1996 2170
1 274 1996 2341
1 275 1996 2341
1 276 1996 2853
1 277 1996 2623
1 278 1996 2361
1 279 1996 3033
1 280 1996 2363
1 281 1996 2245
1 282 1996 2861
1 283 1996 2262
1 284 1996 2262
1 285 1996 2903
1 286 1996 2364
1 287 1996 2275
1 288 1996 2376
1 289 1996 3088
1 290 1996 3121
1 291 1996 3259
1 292 1996 2821
1 293 1996 2465
1 294 1996 2409
1 295 1996 2178
1 296 1996 2178
1 297 1996 2163
1 298 1996 2163
1 299 1996 2572
1 300 1996 2688
1 301 1996 2842
1 302 1996 2842
1 303 1996 2612
1 304 1996 2707
1 305 1996 3260
1 306 1996 2536
1 307 1996 2071
1 308 1996 2064
1 309 1996 3250
1 310 1996 2637
1 311 1996 2637
1 312 1996 2172
1 313 1996 3201
1 314 1996 2377
1 315 1996 2658
1 316 1996 3123
1 317 1996 2073
1 318 1996 2073
1 319 1996 2069
1 320 1996 2421
1 321 1996 2843
1 322 1996 2686
1 323 1996 3299
1 324 1996 3014
1 325 1996 2641
1 326 1996 2695
1 327 1996 3280
1 328 1996 3298
1 329 1996 2214
1 330 1996 3209
1 331 1996 2698
1 332 1996 3293
1 333 1996 2353
1 334 1996 2365
1 335 1996 3291
1 336 1996 2617
1 337 1996 2373
1 338 1996 2373
1 339 1996 2941
1 340 1996 3324
1 341 1996 2143
1 342 1996 2632
1 343 1996 2942
1 344 1996 2223
1 345 1996 1880
1 346 1996 54
1 347 1996 54
1 348 1996 3248
1 349 1996 2479
1 350 1996 56
1 351 1996 55
1 352 1996 2342
1 353 1996 1665
1 354 1996 2362
1 355 1996 1251
1 356 1996 3223
1 357 1996 2292
1 358 1997 2146
1 359 1997 3123
1 360 1997 2610
1 361 1997 2666
1 362 1997 2262
1 363 1997 2262
1 364 1997 2362
1 365 1997 3222
1 366 1997 1741
1 367 1997 1741
1 368 1997 2807
1 369 1997 3199
1 370 1997 2363
1 371 1997 56
1 372 1997 2697
1 373 1997 2697
1 374 1997 3319
1 375 1997 2834
1 376 1997 2460
1 377 1997 2409
1 378 1997 2409
1 379 1997 3214
1 380 1997 3263
1 381 1997 2800
1 382 1997 2632
1 383 1997 2861
1 384 1997 2172
1 385 1997 3242
1 386 1997 2607
1 387 1997 2931
1 388 1997 2169
1 389 1997 2366
1 390 1997 2366
1 391 1997 2369
1 392 1997 2075
1 393 1997 2167
1 394 1997 2830
1 395 1997 2236
1 396 1997 2841
1 397 1997 2178
1 398 1997 2223
1 399 1997 2278
1 400 1997 1649
1 401 1997 2695
1 402 1997 2908
1 403 1997 2658
1 404 1997 2658
1 405 1997 2617
1 406 1997 2617
1 407 1997 2353
1 408 1997 2873
1 409 1997 2177
1 410 1997 2683
1 411 1997 2683
1 412 1997 2214
1 413 1997 2686
1 414 1997 2860
1 415 1997 2361
1 416 1997 2073
1 417 1997 1666
1 418 1997 2698
1 419 1997 2076
1 420 1997 1891
1 421 1997 2447
1 422 1997 2447
1 423 1997 1877
1 424 1997 3533
1 425 1997 57
1 426 1997 55
1 427 1997 2337
1 428 1997 2341
1 5 1997 2699
1 429 1997 2676
1 430 1997 1880
1 431 1997 2359
1 432 1997 2641
1 433 1997 2641
1 434 1997 3303
1 435 1997 2275
1 436 1997 75
1 437 1997 3255
1 438 1997 3203
1 439 1997 54
1 440 1997 54
1 441 1997 3111
1 442 1997 2903
1 443 1997 -2682
1 444 1997 34
1 445 1997 3140
1 446 1998 2066
1 447 1998 3237
1 448 1998 51
